label,z_m,z_mm,x_m,x_mm,w_cfd,t_cfd,w_pinn,t_pinn,w_err,t_err
line-z-10,0.01,10.0,-0.0226521,-22.6521,10.312,1190.99,9.572040147669156,1185.3128805520453,0.739959852330843,5.6771194479547376
line-z-10,0.01,10.0,-0.0225024,-22.502399999999998,10.2735,1193.11,9.607720659592557,1184.8664248965995,0.6657793404074432,8.243575103400417
line-z-10,0.01,10.0,-0.020454,-20.454,12.3975,1122.92,11.647882971370795,1128.4680386029447,0.7496170286292063,5.548038602944644
line-z-10,0.01,10.0,-0.0198903,-19.8903,12.982,1103.6,13.101235886495155,1089.8310365349291,0.11923588649515615,13.768963465070783
line-z-10,0.01,10.0,-0.0196871,-19.687099999999997,13.1399,1094.7,13.794473052574514,1072.881500838697,0.6545730525745128,21.818499161302952
line-z-10,0.01,10.0,-0.019671,-19.671,13.1471,1094.04,13.853365014468825,1071.4723383501862,0.7062650144688245,22.567661649813772
line-z-10,0.01,10.0,-0.0196702,-19.670199999999998,13.1475,1094.01,13.85629132313439,1071.4023178538623,0.7087913231343883,22.607682146137677
line-z-10,0.01,10.0,-0.0196658,-19.6658,13.1502,1093.95,13.872386020794941,1071.0172051240831,0.7221860207949415,22.932794875916898
line-z-10,0.01,10.0,-0.0196429,-19.6429,13.2708,1090.77,13.956151606346484,1069.0128684168221,0.6853516063464848,21.757131583177852
line-z-10,0.01,10.0,-0.0192872,-19.287200000000002,15.1767,1041.27,15.32702131455354,1037.104610472199,0.15032131455354047,4.165389527800926
line-z-10,0.01,10.0,-0.0184688,-18.4688,19.6301,936.741,19.483503799438086,955.3426477539135,0.14659620056191258,18.60164775391354
line-z-10,0.01,10.0,-0.0178143,-17.814300000000003,23.1391,852.089,23.68630921478243,893.8439844726597,0.5472092147824306,41.75498447265966
line-z-10,0.01,10.0,-0.0177569,-17.756899999999998,23.6372,843.43,24.08895843299392,889.1569256146629,0.4517584329939197,45.726925614662946
line-z-10,0.01,10.0,-0.017124,-17.124,29.127,873.945,28.701576679902878,845.7739816463697,0.4254233200971207,28.171018353630302
line-z-10,0.01,10.0,-0.0169113,-16.9113,30.9729,884.205,30.336762687054694,836.2487230109724,0.636137312945305,47.95627698902763
line-z-10,0.01,10.0,-0.015431,-15.431000000000001,44.0385,915.966,43.37872301168974,871.3300514131406,0.6597769883102558,44.6359485868594
line-z-10,0.01,10.0,-0.0151147,-15.1147,46.5394,937.17,46.75510127563464,902.6800546874987,0.21570127563463615,34.48994531250128
line-z-10,0.01,10.0,-0.0150232,-15.023200000000001,47.2627,943.303,47.91447084889097,915.722986753213,0.651770848890969,27.58001324678696
line-z-10,0.01,10.0,-0.0147638,-14.7638,51.1734,1010.76,51.22239012110005,953.1592660328484,0.04899012110004719,57.60073396715154
line-z-10,0.01,10.0,-0.0147291,-14.7291,51.697,1019.79,51.66489127277953,958.1671260598469,0.032108727220474975,61.62287394015311
line-z-10,0.01,10.0,-0.0144729,-14.472900000000001,55.2549,1059.58,55.34698974941354,1000.8686168428163,0.09208974941353887,58.711383157183604
line-z-10,0.01,10.0,-0.0125837,-12.5837,89.3023,1336.37,86.38395069651848,1285.8582198988956,2.91834930348152,50.51178010110425
line-z-10,0.01,10.0,-0.0121777,-12.1777,96.6195,1395.86,91.41666115399457,1304.2836652429908,5.2028388460054344,91.57633475700914
line-z-10,0.01,10.0,-0.0120458,-12.0458,97.6011,1391.95,92.74853869844256,1306.1048558536295,4.852561301557444,85.84514414637056
line-z-10,0.01,10.0,-0.0118714,-11.871400000000001,99.291,1385.36,94.50956556540037,1308.512859208409,4.781434434599632,76.84714079159085
line-z-10,0.01,10.0,-0.011701,-11.700999999999999,100.943,1378.92,95.98654288258233,1309.4604035788143,4.956457117417671,69.45959642118578
line-z-10,0.01,10.0,-0.011182,-11.181999999999999,102.096,1373.21,99.73141793284681,1311.2831325252755,2.3645820671531936,61.92686747472453
line-z-10,0.01,10.0,-0.011044,-11.044,102.403,1371.69,100.54221301987582,1312.8221123621322,1.860786980124189,58.86788763786785
line-z-10,0.01,10.0,-0.00982398,-9.823979999999999,106.28,1345.32,101.82790792218428,1329.6322719290015,4.4520920778157205,15.687728070998446
line-z-10,0.01,10.0,-0.00969438,-9.69438,104.505,1323.15,100.78301699559876,1323.2028001459125,3.7219830044012383,0.05280014591244253
line-z-10,0.01,10.0,-0.00954564,-9.545639999999999,102.467,1297.7,99.5838111590221,1315.823790631896,2.883188840977894,18.123790631895872
line-z-10,0.01,10.0,-0.00878065,-8.78065,86.8559,1091.05,87.63525963206597,1185.715519209562,0.7793596320659617,94.66551920956204
line-z-10,0.01,10.0,-0.0081258,-8.1258,73.4924,914.148,74.1587817257165,1000.2513652056712,0.6663817257164908,86.10336520567114
line-z-10,0.01,10.0,-0.0080446,-8.0446,71.9177,895.337,72.46293861120046,975.8846133099951,0.5452386112004604,80.54761330999509
line-z-10,0.01,10.0,-0.00799498,-7.994980000000001,70.9323,884.684,71.4909053028256,962.0132339243657,0.5586053028255975,77.32923392436578
line-z-10,0.01,10.0,-0.00681098,-6.810980000000001,50.9778,666.994,51.22649087829622,718.658753260285,0.24869087829621606,51.66475326028501
line-z-10,0.01,10.0,-0.00609159,-6.09159,39.7305,585.121,40.71457037313248,670.9526670016661,0.9840703731324822,85.83166700166612
line-z-10,0.01,10.0,-0.0057783,-5.7783,35.6181,614.803,36.253745353699756,670.2284088378908,0.6356453536997577,55.425408837890814
line-z-10,0.01,10.0,-0.00561621,-5.61621,33.4904,630.16,33.95333278021061,671.5619327264742,0.4629327802106076,41.40193272647423
line-z-10,0.01,10.0,-0.00382903,-3.8290300000000004,8.04743,785.058,9.936236710196978,788.5637762380735,1.8888067101969774,3.5057762380735085
line-z-10,0.01,10.0,-0.00326752,-3.2675199999999998,1.58051,848.661,3.376762498434299,850.0448998161702,1.796252498434299,1.383899816170242
line-z-10,0.01,10.0,-0.00313917,-3.13917,0.102239,863.2,2.016138167246035,865.2896880241785,1.913899167246035,2.0896880241784856
line-z-10,0.01,10.0,-0.00186998,-1.86998,-9.33674,1002.45,-9.520169301164849,1011.9353436853663,0.183429301164848,9.485343685366274
line-z-10,0.01,10.0,-0.00134933,-1.34933,-13.8504,1067.1,-12.750512295356895,1059.089383023318,1.0998877046431055,8.010616976681831
line-z-10,0.01,10.0,-0.00134933,-1.34933,-13.8504,1067.1,-12.750512295356895,1059.089383023318,1.0998877046431055,8.010616976681831
line-z-10,0.01,10.0,-0.00131173,-1.31173,-13.9947,1068.82,-12.930588453229719,1061.727087389127,1.064111546770281,7.092912610872872
line-z-10,0.01,10.0,-0.000555675,-0.555675,-16.8963,1103.4,-15.90136351620722,1104.2076618487179,0.9949364837927792,0.8076618487177711
line-z-10,0.01,10.0,-0.000303031,-0.303031,-16.4488,1095.09,-16.40299244699588,1110.2867831663027,0.045807553004117096,15.196783166302794
line-z-10,0.01,10.0,0.00106526,1.0652599999999999,-15.6299,1090.65,-15.328633352180745,1083.1805739964352,0.3012666478192543,7.469426003564877
line-z-10,0.01,10.0,0.00136377,1.3637700000000001,-16.7191,1111.67,-14.221707376787286,1064.7564898112896,2.497392623212715,46.91351018871046
line-z-10,0.01,10.0,0.00250961,2.50961,-7.51392,955.438,-6.642807640943364,956.8319686437248,0.8711123590566361,1.393968643724861
line-z-10,0.01,10.0,0.00297494,2.97494,-3.77563,891.99,-2.154371299050961,900.7748468425386,1.621258700949039,8.784846842538627
line-z-10,0.01,10.0,0.00313038,3.1303799999999997,-2.27424,874.363,-0.46391575475641467,880.9478556005799,1.810324245243585,6.5848556005798855
line-z-10,0.01,10.0,0.00315973,3.1597299999999997,-1.88354,869.978,-0.1447259051356924,877.2041461760336,1.7388140948643076,7.226146176033694
